2026-05-08 13:39:56 | Controller | INFO | controller.py:1299 | [discussion1-rag-docs-tuning-8configs:Controller] Pipeline 3 completed shard 0 (1 batches, 12.70s)
2026-05-08 13:39:56 | Controller | INFO | controller.py:1422 | [discussion1-rag-docs-tuning-8configs:Controller] Scheduling pipeline 5 (Pipeline 5) on actor 1 for shard 0 (1 batches)
2026-05-08 13:39:56 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [discussion1-rag-docs-tuning-8configs:QueryProcessingActor-1] Reusing existing inference engine (config hash: b2e2162d)
2026-05-08 13:39:57 | Controller | INFO | controller.py:1299 | [discussion1-rag-docs-tuning-8configs:Controller] Pipeline 4 completed shard 0 (1 batches, 12.25s)
2026-05-08 13:39:57 | Controller | INFO | controller.py:1422 | [discussion1-rag-docs-tuning-8configs:Controller] Scheduling pipeline 6 (Pipeline 6) on actor 0 for shard 0 (1 batches)
2026-05-08 13:39:57 | QueryProcessingActor-0 | INFO | query_actor.py:142 | [discussion1-rag-docs-tuning-8configs:QueryProcessingActor-0] Cleaning up old inference engine (hash: 6e98d1e9)
2026-05-08 13:39:58 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [discussion1-rag-docs-tuning-8configs:QueryProcessingActor-0] Initializing new inference engine (config hash: b2e2162d)
2026-05-08 13:40:05 | Controller | INFO | controller.py:1299 | [discussion1-rag-docs-tuning-8configs:Controller] Pipeline 5 completed shard 0 (1 batches, 8.18s)
2026-05-08 13:40:05 | Controller | INFO | controller.py:1422 | [discussion1-rag-docs-tuning-8configs:Controller] Scheduling pipeline 7 (Pipeline 7) on actor 1 for shard 0 (1 batches)
2026-05-08 13:40:05 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [discussion1-rag-docs-tuning-8configs:QueryProcessingActor-1] Reusing existing inference engine (config hash: b2e2162d)
2026-05-08 13:40:05 | Controller | INFO | controller.py:1299 | [discussion1-rag-docs-tuning-8configs:Controller] Pipeline 6 completed shard 0 (1 batches, 7.71s)
2026-05-08 13:40:05 | Controller | INFO | controller.py:1422 | [discussion1-rag-docs-tuning-8configs:Controller] Scheduling pipeline 8 (Pipeline 8) on actor 0 for shard 0 (1 batches)
2026-05-08 13:40:06 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [discussion1-rag-docs-tuning-8configs:QueryProcessingActor-0] Reusing existing inference engine (config hash: b2e2162d)
2026-05-08 13:40:15 | Controller | INFO | controller.py:1299 | [discussion1-rag-docs-tuning-8configs:Controller] Pipeline 7 completed shard 0 (1 batches, 9.71s)
2026-05-08 13:40:15 | Controller | INFO | controller.py:1422 | [discussion1-rag-docs-tuning-8configs:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 1 for shard 1 (1 batches)
2026-05-08 13:40:15 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [discussion1-rag-docs-tuning-8configs:QueryProcessingActor-1] Reusing existing inference engine (config hash: b2e2162d)
2026-05-08 13:40:16 | Controller | INFO | controller.py:1299 | [discussion1-rag-docs-tuning-8configs:Controller] Pipeline 8 completed shard 0 (1 batches, 10.71s)
2026-05-08 13:40:16 | Controller | INFO | controller.py:1422 | [discussion1-rag-docs-tuning-8configs:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 0 for shard 1 (1 batches)
2026-05-08 13:40:16 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [discussion1-rag-docs-tuning-8configs:QueryProcessingActor-0] Reusing existing inference engine (config hash: b2e2162d)
2026-05-08 13:40:25 | Controller | INFO | controller.py:1299 | [discussion1-rag-docs-tuning-8configs:Controller] Pipeline 1 completed shard 1 (1 batches, 9.71s)
2026-05-08 13:40:25 | Controller | INFO | controller.py:1422 | [discussion1-rag-docs-tuning-8configs:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 1 for shard 1 (1 batches)
2026-05-08 13:40:25 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [discussion1-rag-docs-tuning-8configs:QueryProcessingActor-1] Reusing existing inference engine (config hash: b2e2162d)
2026-05-08 13:40:42 | Controller | INFO | controller.py:1299 | [discussion1-rag-docs-tuning-8configs:Controller] Pipeline 2 completed shard 1 (1 batches, 25.24s)
2026-05-08 13:40:42 | Controller | INFO | controller.py:1299 | [discussion1-rag-docs-tuning-8configs:Controller] Pipeline 3 completed shard 1 (1 batches, 17.22s)
2026-05-08 13:40:42 | Controller | INFO | controller.py:1422 | [discussion1-rag-docs-tuning-8configs:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 0 for shard 1 (1 batches)
2026-05-08 13:40:42 | QueryProcessingActor-0 | INFO | query_actor.py:142 | [discussion1-rag-docs-tuning-8configs:QueryProcessingActor-0] Cleaning up old inference engine (hash: b2e2162d)
2026-05-08 13:40:42 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [discussion1-rag-docs-tuning-8configs:QueryProcessingActor-0] Initializing new inference engine (config hash: 6e98d1e9)
2026-05-08 13:40:42 | Controller | INFO | controller.py:1422 | [discussion1-rag-docs-tuning-8configs:Controller] Scheduling pipeline 5 (Pipeline 5) on actor 1 for shard 1 (1 batches)
2026-05-08 13:40:42 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [discussion1-rag-docs-tuning-8configs:QueryProcessingActor-1] Reusing existing inference engine (config hash: b2e2162d)
2026-05-08 13:40:56 | Controller | INFO | controller.py:1299 | [discussion1-rag-docs-tuning-8configs:Controller] Pipeline 5 completed shard 1 (1 batches, 13.05s)
2026-05-08 13:40:56 | Controller | INFO | controller.py:1422 | [discussion1-rag-docs-tuning-8configs:Controller] Scheduling pipeline 6 (Pipeline 6) on actor 1 for shard 1 (1 batches)
2026-05-08 13:40:56 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [discussion1-rag-docs-tuning-8configs:QueryProcessingActor-1] Reusing existing inference engine (config hash: b2e2162d)
2026-05-08 13:40:57 | Controller | INFO | controller.py:1299 | [discussion1-rag-docs-tuning-8configs:Controller] Pipeline 4 completed shard 1 (1 batches, 14.23s)
2026-05-08 13:40:57 | Controller | INFO | controller.py:1422 | [discussion1-rag-docs-tuning-8configs:Controller] Scheduling pipeline 7 (Pipeline 7) on actor 0 for shard 1 (1 batches)
2026-05-08 13:40:57 | QueryProcessingActor-0 | INFO | query_actor.py:142 | [discussion1-rag-docs-tuning-8configs:QueryProcessingActor-0] Cleaning up old inference engine (hash: 6e98d1e9)
