2026-05-08 12:39:47 | Controller | INFO | controller.py:1422 | [discussion1-rag-docs-tuning-module:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 0 for shard 2 (1 batches)
2026-05-08 12:39:47 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [discussion1-rag-docs-tuning-module:QueryProcessingActor-0] Reusing existing inference engine (config hash: 7c4a54c9)
2026-05-08 12:40:03 | Controller | INFO | controller.py:1299 | [discussion1-rag-docs-tuning-module:Controller] Pipeline 2 completed shard 2 (1 batches, 21.26s)
2026-05-08 12:40:04 | Controller | INFO | controller.py:1299 | [discussion1-rag-docs-tuning-module:Controller] Pipeline 3 completed shard 2 (1 batches, 16.71s)
2026-05-08 12:40:04 | Controller | INFO | controller.py:1422 | [discussion1-rag-docs-tuning-module:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 0 for shard 2 (1 batches)
2026-05-08 12:40:04 | QueryProcessingActor-0 | INFO | query_actor.py:142 | [discussion1-rag-docs-tuning-module:QueryProcessingActor-0] Cleaning up old inference engine (hash: 7c4a54c9)
2026-05-08 12:40:04 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [discussion1-rag-docs-tuning-module:QueryProcessingActor-0] Initializing new inference engine (config hash: 56c87742)
2026-05-08 12:40:04 | Controller | INFO | controller.py:1422 | [discussion1-rag-docs-tuning-module:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 1 for shard 3 (1 batches)
2026-05-08 12:40:04 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [discussion1-rag-docs-tuning-module:QueryProcessingActor-1] Reusing existing inference engine (config hash: 7c4a54c9)
2026-05-08 12:40:15 | Controller | INFO | controller.py:1299 | [discussion1-rag-docs-tuning-module:Controller] Pipeline 4 completed shard 2 (1 batches, 11.05s)
2026-05-08 12:40:15 | Controller | INFO | controller.py:1422 | [discussion1-rag-docs-tuning-module:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 0 for shard 3 (1 batches)
2026-05-08 12:40:15 | QueryProcessingActor-0 | INFO | query_actor.py:142 | [discussion1-rag-docs-tuning-module:QueryProcessingActor-0] Cleaning up old inference engine (hash: 56c87742)
2026-05-08 12:40:16 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [discussion1-rag-docs-tuning-module:QueryProcessingActor-0] Initializing new inference engine (config hash: 7c4a54c9)
2026-05-08 12:40:16 | Controller | INFO | controller.py:1192 | [discussion1-rag-docs-tuning-module:Controller] Pipeline 1 completed all 4 shards
